,artista,listeners,playcount,biografia,artistas_similares
770,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
771,Parker,49235,565302,"There is more than one artist with this name:


1) Parker is some fuckin emo shit in Rockford, IL.  Members of Warren Franklin, Joie De Vivre, and Your City/State.  On Count Your Lucky Stars or something dumb.  Cool as hell. We takin' over. 

2) If Knighthoods were given out for contributions to crowd rocking, Parker would be curtseying in front of the Queen come New Year. As it is, plaudits range from Massive Attack to DJ Yoda. Royalty indeed! 
First starting his rise smashing chumps via DJ battles <a href=""https://www.last.fm/music/Parker"">Read more on Last.fm</a>","['Dodge & Fuski', 'Дорогой Дневник', 'Worst party ever', 'Arrows in her']"
772,Kay the Aquanaut,3783,64988,"Kay the Aquanaut is one of the most successful and hard working independent musician’s within the Canadian hip-hop genre. He has released six solo albums, one album as a member of the group Metropolis Now and over a hundred songs in the last decade. 

Kay's solo albums include  Solitude Savannah (2002), Waist Deep in Concrete (2004), Spinning Blue Planet (2007), Nickelodeon Ethics (2010), We Sold Our Clothes to the State (2011) and Waterloo (2011). <a href=""https://www.last.fm/music/Kay+the+Aquanaut"">Read more on Last.fm</a>","['Factor', 'Cam the Wizzard', 'Awol One & Factor', 'David Ramos']"
773,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
774,Iggy Azalea,1567580,49898478,"Amethyst Amelia Kelly, known professionally as Iggy Azalea, is an Australian rapper. At the age of 16, Azalea moved from Australia to the United States in order to pursue a career in music. Azalea earned public recognition after releasing the music videos for her songs ""Pussy"" and ""Two Times"" on YouTube, both of which gained rapid popularity. Azalea shortly after released her debut mixtape, Ignorant Art (2011), and subsequently signed a recording contract with American rapper T.I.'s Grand Hustle label. <a href=""https://www.last.fm/music/Iggy+Azalea"">Read more on Last.fm</a>","['Brooke Candy', 'Saweetie', 'Cardi B', 'Nicki Minaj']"
775,Gus Dapperton,531447,11281740,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>","['Dayglow', 'Hippo Campus', 'BENEE', 'Still Woozy']"
776,Real Hip Hop Is Over Here,6,12," <a href=""https://www.last.fm/music/Real+Hip+Hop+Is+Over+Here"">Read more on Last.fm</a>",[]
777,Pop Smoke,1270061,109723935,"Bashar Barakah Jackson (July 20, 1999 – February 19, 2020), known professionally as Pop Smoke, was an American rapper and actor from Canarsie, Brooklyn, New York. He started his musical career in late 2018 with his debut single ""MPR (Panic Part 3 Remix)"", and rose to fame with the release of his breakout singles ""Welcome to the Party"" and ""Dior"" in 2019. His style of rap was heavily influenced by 50 Cent, DMX, and Meek Mill and was characterized by a signature and distinguishable drill-style rap, the style typically seen in the UK rap scene. <a href=""https://www.last.fm/music/Pop+Smoke"">Read more on Last.fm</a>","['DUSTY LOCANE', 'Fivio Foreign', 'Rah Swish', 'Lil Tjay']"
778,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
779,Visionaries,52138,476534,"There are more than one band with this name.
1) Los Angeles hip hop.
2) Florida death metal

It may also be an incorrect artist tag for The Visionaries. If so, do last.fm and yourself a favour and fix your artist tags.

1) Visionaries is a political hip hop group from Los Angeles, California. The group is notable for focusing on positive issues as well as the diverse ethnic origins of its members. The group formed in 1995, and have since released four full-length albums on Up Above Records. <a href=""https://www.last.fm/music/Visionaries"">Read more on Last.fm</a>","['2Mex', 'LMNO', 'Zion I & The Grouch', 'Abstract Rude']"
780,Don Toliver,1570947,113865879,"Caleb Zackery “Don” Toliver (born June 12, 1994), is a rapper, singer, and songwriter from Houston, Texas. Toliver began his musical career in May 2017, releasing the collaborative mixtape Playa Familia with friend and fellow rapper Yungjosh93.

Don Toliver’s solo debut came just a few months later, with the debut singles “I Gotta” and “Diva” dropping in November and December, respectively. The singles quickly caught the ear of Atlantic Records, which signed Toliver to the label in March 2018. <a href=""https://www.last.fm/music/Don+Toliver"">Read more on Last.fm</a>","['Travi$ Scott', 'Gunna', 'Offset', 'Metro Boomin']"
781,Gus Dapperton,531447,11281740,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>","['Dayglow', 'Hippo Campus', 'BENEE', 'Still Woozy']"
782,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
783,Finesse2tymes,67444,467941," <a href=""https://www.last.fm/music/Finesse2tymes"">Read more on Last.fm</a>","['Big Boogie', 'BigWalkDog', 'Moneybagg Yo', 'Yo Gotti']"
784,Trizz,13186,121302,"Trizz, born Arthur “Tre” Lea III, is a self-released rapper based out Los Angeles, Calif. The young rapper became an avid music aficionado at an early age, first picking up a microphone at the tender age of nine. Growing up in the suburbs of the Inland Empire, hip-hop became a way for Trizz and his neighborhood friends to escape boredom and the simplicities of living life on the outskirts. As his writing skills developed, Trizz perfected his lyrical skill and began producing his own beats and mixtapes under the moniker “Young Trizz. <a href=""https://www.last.fm/music/Trizz"">Read more on Last.fm</a>","['Rakz', 'Sahtyre', 'Young LS', 'Kyle Bent']"
785,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
786,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
787,Kenny Mason,230811,7890013,"Edwin Kenneth Green Jr. (born December 17, 1994), better known by his stage name Kenny Mason, is an independent American rapper, singer-songwriter, and record producer. Born in West Atlanta, Georgia, Mason has been an influential figure in the contemporary rap and hip-hop scenes. He gained significant attention with the release of his breakout single ""Hit"" in August 2019.

Mason's musical style is characterized by its blend of rap, punk, and experimental sounds. <a href=""https://www.last.fm/music/Kenny+Mason"">Read more on Last.fm</a>","['Paris Texas', 'Smino', 'Ag Club', 'EARTHGANG']"
788,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
789,Luh Tyler,186741,3963864,"Tyler Meeks[1] (born February 20, 2006), known professionally as Luh Tyler, is a rapper from Tallahassee, Florida[2] currently signed to Atlantic Records. His debut studio album My Vision peaked at number 2 on the Billboard Top Heatseekers chart. <a href=""https://www.last.fm/music/Luh+Tyler"">Read more on Last.fm</a>","['Real Boston Richey', 'Babyface Ray', 'Veeze', 'Bossman Dlow']"
790,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
791,Shordie Shordie,143503,3104166,"Shordie Shordie is a Baltimore artist who is part of the rap trio Peso Da Mafia (which found success with songs such as “Money Man” and “Winning.”) His unique voice and flow, along with his hypnotizing, catchy choruses earned him the nickname “Captain Hook”. In December 2018, Shordie Shordie released his debut mixtape Captain Hook, which featured his biggest song yet “Bitchuary.” <a href=""https://www.last.fm/music/Shordie+Shordie"">Read more on Last.fm</a>","['ShooterGang Kony', '03 Greedo', 'Shoreline Mafia', 'Kalan.FrFr']"
